127.0.0.1 - - [27/Aug/2015:08:18:34 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:18:35 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:18:41 +0530] "GET /Heenahtm/REGISTER.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:25:09 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:25:09 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:25:09 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:25:10 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:25:10 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:26:25 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:26:42 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:27:55 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:27:57 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:27:57 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:27:58 +0530] "GET /Heenahtm/REGISTER.html?USER=&PASSWORD= HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:28:06 +0530] "GET /Heenahtm/REGISTER.html?USER=&PASSWORD= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2015:08:28:39 +0530] "GET /Heenahtm/loginpage.html HTTP/1.1" 200 1374
